name,position,team,adp
Adrian Peterson,RB,ARI,69.9
Alvin Kamara,RB,NO,140.0
Ameer Abdullah,RB,DET,53.0
Bilal Powell,RB,NYJ,48.6
CJ Anderson,RB,DEN,51.4
CJ Prosise,RB,SEA,129.4
Carlos Hyde,RB,SF,35.2
Charcandrick West,RB,KC,160.7
Chris Carson,RB,SEA,149.7
Christian McCaffrey,RB,CAR,22.9
Dalvin Cook,RB,MIN,27.5
Danny Woodhead,RB,BAL,61.7
Darren McFadden,RB,DAL,75.3
Darren Sproles,RB,PHI,116.3
David Johnson,RB,ARI,1.3
DeAndre Washington,RB,OAK,155.2
DeMarco Murray,RB,TEN,15.2
Derrick Henry,RB,TEN,77.9
Devonta Freeman,RB,ATL,7.0
Dion Lewis,RB,NE,155.9
Donta Foreman,RB,HOU,157.0
Doug Martin,RB,TB,49.0
Duke Johnson,RB,CLE,94.2
Eddie Lacy,RB,SEA,106.6
Ezekiel Elliott,RB,DAL,6.2
Frank Gore,RB,IND,86.1
Giovani Bernard,RB,CIN,159.6
Isaiah Crowell,RB,CLE,29.8
Jacquizz Rodgers,RB,TB,95.9
Jamaal Charles,RB,DEN,123.3
Jamaal Williams,RB,GB,114.3
James White,RB,NE,102.7
Jay Ajayi,RB,PHI,13.8
Jeremy Hill,RB,CIN,134.5
Joe Mixon,RB,CIN,42.5
Jonathan Stewart,RB,CAR,101.4
Jonathan Williams,RB,NO,156.1
Jordan Howard,RB,CHI,16.8
Kareem Hunt,RB,KC,18.7
Lamar Miller,RB,HOU,35.2
Latavius Murray,RB,MIN,154.4
LeGarrette Blount,RB,PHI,91.9
LeSean McCoy,RB,BUF,7.8
LeVeon Bell,RB,PIT,2.3
Leonard Fournette,RB,JAX,27.0
Mark Ingram,RB,NO,57.6
Marlon Mack,RB,IND,141.3
Marshawn Lynch,RB,OAK,36.4
Matt Forte,RB,NYJ,132.6
Melvin Gordon,RB,LAC,10.1
Mike Gillislee,RB,NE,65.3
Paul Perkins,RB,NYG,83.4
Rex Burkhead,RB,NE,113.4
Rob Kelley,RB,WAS,67.0
Samaje Perine,RB,WAS,126.8
Terrance West,RB,BAL,86.8
Tevin Coleman,RB,ATL,73.2
Theo Riddick,RB,DET,83.0
Thomas Rawls,RB,SEA,95.7
Todd Gurley,RB,LAR,19.4
Ty Montgomery,RB,GB,32.6
Wendell Smallwood,RB,PHI,146.1
