,Away Team,Home Team,Away Spread,Away Spread Odds,Home Spread,Home Spread Odds,Away ML,Home ML,Over,Over Odds,Under,Under Odds
0,PHI,PIT,-1.5,+118,+1.5,-142,-134,+114,9,-122,9,+100
1,KCR,TOR,+1.5,+106,-1.5,-128,+188,-225,10.5,-110,10.5,-110
2,CIN,NYM,+1.5,-170,-1.5,+140,+118,-138,8,-110,8,-110
3,BAL,DET,+1.5,-138,-1.5,+115,+132,-156,9.5,-102,9.5,-120
4,NYY,MIA,-1.5,-102,+1.5,-118,-172,+144,7.5,-112,7.5,-108
5,BOS,TBR,+1.5,-164,-1.5,+136,+116,-136,9,-105,9,-115
6,MIL,ATL,-1.5,+114,+1.5,-137,-146,+124,8.5,-115,8.5,-105
7,SEA,TEX,-1.5,+100,+1.5,-118,-164,+138,7.5,-118,7.5,-104
8,CLE,CHW,+1.5,-110,-1.5,-110,+180,-215,8.5,-108,8.5,-112
9,MIN,STL,+1.5,-170,-1.5,+140,+124,-146,8.5,-118,8.5,-102
10,OAK,LAA,-1.5,+150,+1.5,-178,-120,+102,8.5,-106,8.5,-114
11,LAD,ARI,-1.5,-125,+1.5,+104,-196,+164,9,-120,9,-102
12,HOU,SFG,+1.5,-192,-1.5,+158,+110,-130,7.5,-114,7.5,-106
13,COL,SDP,+1.5,-130,-1.5,+108,+166,-198,8.5,-112,8.5,-110
