,Date,Favorite,Underdog,Spread Open,Spread Close,Total Open,Total Close,Fav ML,Dog ML,2H Favorite,2H Underdog,2H Spread,2H Total
0,1222,BRK,GSW,5.5,7.5,228,234.5,-320,265,GSW,BRK,1,115
1,1222,LAL,LAC,2.5,2,223,219,-135,115,LAL,LAC,3.5,108.5
2,1223,CLE,CHO,1,217,215,3,120,-140,CHO,CLE,7,107
3,1223,IND,NYK,8.5,7.5,214.5,215.5,-330,270,IND,NYK,7.5,107.5
4,1223,MIA,ORL,3.5,4.5,220.5,219,-190,170,MIA,ORL,5,106.5
5,1223,PHI,WAS,7.5,7,229,230.5,-300,250,PHI,WAS,5.5,113.5
6,1223,MIL,BOS,2.5,4.5,226,223,-190,170,MIL,BOS,4,115
7,1223,TOR,NOP,5,3.5,230,228.5,-170,150,TOR,NOP,0,111
8,1223,ATL,CHI,1.5,2,227,234,-130,110,CHI,ATL,6,116
9,1223,MEM,SAS,3,2,231.5,230,-130,110,MEM,SAS,5,117
10,1223,MIN,DET,5.5,5.5,227,224.5,-220,190,MIN,DET,4.5,110
11,1223,DEN,SAC,8,7.5,224.5,227.5,-310,260,DEN,SAC,2,111.5
12,1223,POR,UTA,1.5,226,229,1.5,110,-130,POR,UTA,5,115
13,1223,PHO,DAL,0,1.5,237,232.5,-120,100,DAL,PHO,2,113
14,1225,MIA,NOP,5,3,229,221,-150,130,NOP,MIA,3,107.5
15,1225,MIL,GSW,8.5,10,233.5,230.5,-600,450,MIL,GSW,2.5,113
16,1225,BOS,BRK,0,229.5,227,3,125,-145,BRK,BOS,3,114
17,1225,LAL,DAL,6.5,6,230,226,-265,225,DAL,LAL,1.5,110.5
18,1225,LAC,DEN,2,3.5,222,226.5,-160,140,DEN,LAC,3.5,110.5
19,1226,ATL,MEM,1,238.5,237.5,2.5,120,-140,MEM,ATL,1,117.5
20,1226,DET,CLE,3,0,220,214,-110,-110,DET,CLE,1.5,105.5
21,1226,WAS,ORL,1,1.5,228.5,232,-130,110,WAS,ORL,1.5,117.5
22,1226,CHO,OKC,3,3,218.5,219.5,-145,125,CHO,OKC,1,108
23,1226,PHI,NYK,8,8,219,215,-360,300,PHI,NYK,4,105.5
24,1226,IND,CHI,3,6,222.5,223.5,-240,200,IND,CHI,0.5,110
25,1226,TOR,SAS,2,2.5,225.5,228.5,-145,125,TOR,SAS,2,112.5
26,1226,UTA,MIN,8,9.5,225.5,229,-450,375,UTA,MIN,9.5,112
27,1226,PHO,SAC,4.5,3.5,230,227,-160,140,PHO,SAC,4,114.5
28,1226,POR,HOU,8.5,7.5,225,225.5,-360,300,POR,HOU,6.5,111.5
29,1227,LAC,DAL,4.5,3,230,226.5,-160,140,LAC,DAL,10.5,111.5
30,1227,NOP,SAS,5.5,5,226.5,227.5,-190,170,NOP,SAS,2.5,116
31,1227,WAS,ORL,1.5,231,225.5,2,110,-130,ORL,WAS,0.5,117.5
32,1227,BRK,CHO,7.5,11.5,224,233,-600,450,BRK,CHO,6.5,113.5
33,1227,PHI,CLE,5.5,6,218.5,218,-240,200,PHI,CLE,7.5,108
34,1227,MIL,NYK,11,13,223.5,222,-1200,750,MIL,NYK,12,114
35,1227,IND,BOS,3,220.5,219,3,115,-135,IND,BOS,0.5,113
36,1227,GSW,CHI,2,3.5,226,229.5,-165,145,GSW,CHI,1,112
37,1227,PHO,SAC,3.5,3,224.5,225.5,-160,140,PHO,SAC,1.5,114
38,1228,LAL,MIN,11,10.5,224,229,-500,400,MIN,LAL,0.5,112
39,1228,BRK,MEM,7,227.5,235,1.5,105,-125,BRK,MEM,0.5,114.5
40,1228,ATL,DET,8.5,10.5,226.5,223.5,-500,400,ATL,DET,3,109.5
41,1228,UTA,OKC,5,9,221,218,-400,330,UTA,OKC,7.5,110.5
42,1228,DEN,HOU,9,6.5,225.5,222,-265,225,DEN,HOU,0.5,109.5
43,1228,LAL,POR,4.5,6,227.5,229,-230,195,LAL,POR,5.5,117.5
44,1229,BOS,IND,1,219,220,1,-105,-115,IND,BOS,0,112
45,1229,WAS,CHI,4.5,6.5,232.5,238,-250,210,WAS,CHI,5,119.5
46,1229,GSW,DET,3.5,4.5,222.5,227.5,-170,150,GSW,DET,4,110.5
47,1229,PHI,TOR,0,1.5,218.5,219.5,-125,105,PHI,TOR,2.5,106.5
48,1229,CLE,NYK,4.5,3.5,219.5,216,-160,140,CLE,NYK,4,106.5
49,1229,MIL,MIA,5,6,222.5,227.5,-240,200,MIA,MIL,4.5,114.5
50,1229,ORL,OKC,5,6.5,219.5,219,-250,210,ORL,OKC,2.5,112
51,1229,LAC,MIN,6.5,10.5,229.5,225.5,-650,475,LAC,MIN,0.5,109.5
52,1229,PHO,NOP,3,1.5,223,222,-125,105,NOP,PHO,5,108
53,1229,DEN,SAC,3,226,223.5,1,-110,-110,DEN,SAC,3.5,110.5
54,1230,BOS,MEM,8.5,7,224,218,-285,245,MEM,BOS,2.5,110
55,1230,MIL,MIA,6,6.5,227.5,228.5,-260,220,MIL,MIA,2.5,115
56,1230,BRK,ATL,6.5,5.5,240,240,-230,195,BRK,ATL,4,118
57,1230,DAL,CHO,8.5,8,223.5,225,-360,300,DAL,CHO,8,112
58,1230,LAL,SAS,6.5,7.5,229.5,231.5,-310,260,LAL,SAS,1,113
59,1230,LAC,POR,3.5,6,229,226,-220,190,POR,LAC,2.5,113.5
