,Date,Team,Spread Open,Spread Close,Total Open,Total Close,ML,2H Spread,2H Total
0,1222,BRK,-5.5,-7.5,228,234.5,-320,-1.0,115
1,1222,GSW,5.5,7.5,228,234.5,265,1.0,115
2,1222,LAL,-2.5,-2.0,223,219,-135,3.5,108.5
3,1222,LAC,2.5,2,223,219,115,-3.5,108.5
4,1223,CLE,-1.0,-217.0,215,3,120,-7.0,107
5,1223,CHO,1,217,215,3,-140,7.0,107
6,1223,IND,-8.5,-7.5,214.5,215.5,-330,7.5,107.5
7,1223,NYK,8.5,7.5,214.5,215.5,270,-7.5,107.5
8,1223,MIA,-3.5,-4.5,220.5,219,-190,5.0,106.5
9,1223,ORL,3.5,4.5,220.5,219,170,-5.0,106.5
10,1223,PHI,-7.5,-7.0,229,230.5,-300,5.5,113.5
11,1223,WAS,7.5,7,229,230.5,250,-5.5,113.5
12,1223,MIL,-2.5,-4.5,226,223,-190,4.0,115
13,1223,BOS,2.5,4.5,226,223,170,-4.0,115
14,1223,TOR,-5.0,-3.5,230,228.5,-170,0.0,111
15,1223,NOP,5,3.5,230,228.5,150,-0.0,111
16,1223,ATL,-1.5,-2.0,227,234,-130,-6.0,116
17,1223,CHI,1.5,2,227,234,110,6.0,116
18,1223,MEM,-3.0,-2.0,231.5,230,-130,5.0,117
19,1223,SAS,3,2,231.5,230,110,-5.0,117
20,1223,MIN,-5.5,-5.5,227,224.5,-220,4.5,110
21,1223,DET,5.5,5.5,227,224.5,190,-4.5,110
22,1223,DEN,-8.0,-7.5,224.5,227.5,-310,2.0,111.5
23,1223,SAC,8,7.5,224.5,227.5,260,-2.0,111.5
24,1223,POR,-1.5,-226.0,229,1.5,110,5.0,115
25,1223,UTA,1.5,226,229,1.5,-130,-5.0,115
26,1223,PHO,-0.0,-1.5,237,232.5,-120,-2.0,113
27,1223,DAL,0,1.5,237,232.5,100,2.0,113
28,1225,MIA,-5.0,-3.0,229,221,-150,-3.0,107.5
29,1225,NOP,5,3,229,221,130,3.0,107.5
30,1225,MIL,-8.5,-10.0,233.5,230.5,-600,2.5,113
31,1225,GSW,8.5,10,233.5,230.5,450,-2.5,113
32,1225,BOS,-0.0,-229.5,227,3,125,-3.0,114
33,1225,BRK,0,229.5,227,3,-145,3.0,114
34,1225,LAL,-6.5,-6.0,230,226,-265,-1.5,110.5
35,1225,DAL,6.5,6,230,226,225,1.5,110.5
36,1225,LAC,-2.0,-3.5,222,226.5,-160,-3.5,110.5
37,1225,DEN,2,3.5,222,226.5,140,3.5,110.5
38,1226,ATL,-1.0,-238.5,237.5,2.5,120,-1.0,117.5
39,1226,MEM,1,238.5,237.5,2.5,-140,1.0,117.5
40,1226,DET,-3.0,-0.0,220,214,-110,1.5,105.5
41,1226,CLE,3,0,220,214,-110,-1.5,105.5
42,1226,WAS,-1.0,-1.5,228.5,232,-130,1.5,117.5
43,1226,ORL,1,1.5,228.5,232,110,-1.5,117.5
44,1226,CHO,-3.0,-3.0,218.5,219.5,-145,1.0,108
45,1226,OKC,3,3,218.5,219.5,125,-1.0,108
46,1226,PHI,-8.0,-8.0,219,215,-360,4.0,105.5
47,1226,NYK,8,8,219,215,300,-4.0,105.5
48,1226,IND,-3.0,-6.0,222.5,223.5,-240,0.5,110
49,1226,CHI,3,6,222.5,223.5,200,-0.5,110
50,1226,TOR,-2.0,-2.5,225.5,228.5,-145,2.0,112.5
51,1226,SAS,2,2.5,225.5,228.5,125,-2.0,112.5
52,1226,UTA,-8.0,-9.5,225.5,229,-450,9.5,112
53,1226,MIN,8,9.5,225.5,229,375,-9.5,112
54,1226,PHO,-4.5,-3.5,230,227,-160,4.0,114.5
55,1226,SAC,4.5,3.5,230,227,140,-4.0,114.5
56,1226,POR,-8.5,-7.5,225,225.5,-360,6.5,111.5
57,1226,HOU,8.5,7.5,225,225.5,300,-6.5,111.5
58,1227,LAC,-4.5,-3.0,230,226.5,-160,10.5,111.5
59,1227,DAL,4.5,3,230,226.5,140,-10.5,111.5
60,1227,NOP,-5.5,-5.0,226.5,227.5,-190,2.5,116
61,1227,SAS,5.5,5,226.5,227.5,170,-2.5,116
62,1227,WAS,-1.5,-231.0,225.5,2,110,-0.5,117.5
63,1227,ORL,1.5,231,225.5,2,-130,0.5,117.5
64,1227,BRK,-7.5,-11.5,224,233,-600,6.5,113.5
65,1227,CHO,7.5,11.5,224,233,450,-6.5,113.5
66,1227,PHI,-5.5,-6.0,218.5,218,-240,7.5,108
67,1227,CLE,5.5,6,218.5,218,200,-7.5,108
68,1227,MIL,-11.0,-13.0,223.5,222,-1200,12.0,114
69,1227,NYK,11,13,223.5,222,750,-12.0,114
70,1227,IND,-3.0,-220.5,219,3,115,0.5,113
71,1227,BOS,3,220.5,219,3,-135,-0.5,113
72,1227,GSW,-2.0,-3.5,226,229.5,-165,1.0,112
73,1227,CHI,2,3.5,226,229.5,145,-1.0,112
74,1227,PHO,-3.5,-3.0,224.5,225.5,-160,1.5,114
75,1227,SAC,3.5,3,224.5,225.5,140,-1.5,114
76,1228,LAL,-11.0,-10.5,224,229,-500,-0.5,112
77,1228,MIN,11,10.5,224,229,400,0.5,112
78,1228,BRK,-7.0,-227.5,235,1.5,105,0.5,114.5
79,1228,MEM,7,227.5,235,1.5,-125,-0.5,114.5
80,1228,ATL,-8.5,-10.5,226.5,223.5,-500,3.0,109.5
81,1228,DET,8.5,10.5,226.5,223.5,400,-3.0,109.5
82,1228,UTA,-5.0,-9.0,221,218,-400,7.5,110.5
83,1228,OKC,5,9,221,218,330,-7.5,110.5
84,1228,DEN,-9.0,-6.5,225.5,222,-265,0.5,109.5
85,1228,HOU,9,6.5,225.5,222,225,-0.5,109.5
86,1228,LAL,-4.5,-6.0,227.5,229,-230,5.5,117.5
87,1228,POR,4.5,6,227.5,229,195,-5.5,117.5
88,1229,BOS,-1.0,-219.0,220,1,-105,-0.0,112
89,1229,IND,1,219,220,1,-115,0.0,112
90,1229,WAS,-4.5,-6.5,232.5,238,-250,5.0,119.5
91,1229,CHI,4.5,6.5,232.5,238,210,-5.0,119.5
92,1229,GSW,-3.5,-4.5,222.5,227.5,-170,4.0,110.5
93,1229,DET,3.5,4.5,222.5,227.5,150,-4.0,110.5
94,1229,PHI,-0.0,-1.5,218.5,219.5,-125,2.5,106.5
95,1229,TOR,0,1.5,218.5,219.5,105,-2.5,106.5
96,1229,CLE,-4.5,-3.5,219.5,216,-160,4.0,106.5
97,1229,NYK,4.5,3.5,219.5,216,140,-4.0,106.5
98,1229,MIL,-5.0,-6.0,222.5,227.5,-240,-4.5,114.5
99,1229,MIA,5,6,222.5,227.5,200,4.5,114.5
100,1229,ORL,-5.0,-6.5,219.5,219,-250,2.5,112
101,1229,OKC,5,6.5,219.5,219,210,-2.5,112
102,1229,LAC,-6.5,-10.5,229.5,225.5,-650,0.5,109.5
103,1229,MIN,6.5,10.5,229.5,225.5,475,-0.5,109.5
104,1229,PHO,-3.0,-1.5,223,222,-125,-5.0,108
105,1229,NOP,3,1.5,223,222,105,5.0,108
106,1229,DEN,-3.0,-226.0,223.5,1,-110,3.5,110.5
107,1229,SAC,3,226,223.5,1,-110,-3.5,110.5
108,1230,BOS,-8.5,-7.0,224,218,-285,-2.5,110
109,1230,MEM,8.5,7,224,218,245,2.5,110
110,1230,MIL,-6.0,-6.5,227.5,228.5,-260,2.5,115
111,1230,MIA,6,6.5,227.5,228.5,220,-2.5,115
112,1230,BRK,-6.5,-5.5,240,240,-230,4.0,118
113,1230,ATL,6.5,5.5,240,240,195,-4.0,118
114,1230,DAL,-8.5,-8.0,223.5,225,-360,8.0,112
115,1230,CHO,8.5,8,223.5,225,300,-8.0,112
116,1230,LAL,-6.5,-7.5,229.5,231.5,-310,1.0,113
117,1230,SAS,6.5,7.5,229.5,231.5,260,-1.0,113
118,1230,LAC,-3.5,-6.0,229,226,-220,-2.5,113.5
119,1230,POR,3.5,6,229,226,190,2.5,113.5
